"level","province","city","county","town","village","short_name","merger_name","area_code","city_code","zip_code","lat","lon"
"5","广东省","惠州市","仲恺高新区","陈江街道办事处","胜利村民委员会","胜利","广东;惠州;仲恺;陈江;胜利","441302008207","0752","516029","23.012215","114.316677"
"5","广东省","惠州市","仲恺高新区","陈江街道办事处","五一村民委员会","五一","广东;惠州;仲恺;陈江;五一","441302008208","0752","516029","22.999376","114.326844"
"5","广东省","惠州市","仲恺高新区","陈江街道办事处","观田村民委员会","观田","广东;惠州;仲恺;陈江;观田","441302008209","0752","516029","22.999376","114.326844"
"5","广东省","惠州市","仲恺高新区","陈江街道办事处","石圳村民委员会","石圳","广东;惠州;仲恺;陈江;石圳","441302008210","0752","516029","22.999376","114.326844"
"5","广东省","惠州市","仲恺高新区","陈江街道办事处","幸福村民委员会","幸福","广东;惠州;仲恺;陈江;幸福","441302008211","0752","516029","22.999376","114.326844"
"5","广东省","惠州市","仲恺高新区","陈江街道办事处","社溪村民委员会","社溪","广东;惠州;仲恺;陈江;社溪","441302008212","0752","516029","22.999376","114.326844"
"4","广东省","惠州市","惠城区","水口街道办事处",,"水口","广东;惠州;惠城;水口","441302009000","0752","516255","23.148744","114.518313"
"5","广东省","惠州市","惠城区","水口街道办事处","东兴社区居委会","东兴","广东;惠州;惠城;水口;东兴","441302009001","0752","516053","23.148744","114.518313"
"5","广东省","惠州市","惠城区","水口街道办事处","湖溪社区居委会","湖溪","广东;惠州;惠城;水口;湖溪","441302009002","0752","516005","23.087910","114.451700"
"5","广东省","惠州市","惠城区","水口街道办事处","龙湖社区居委会","龙湖","广东;惠州;惠城;水口;龙湖","441302009003","0752","516005","23.135634","114.497146"
"5","广东省","惠州市","惠城区","水口街道办事处","湖滨社区居委会","湖滨","广东;惠州;惠城;水口;湖滨","441302009004","0752","516005","23.108056","114.470472"
"5","广东省","惠州市","惠城区","水口街道办事处","蓬陵村民委员会","蓬陵","广东;惠州;惠城;水口;蓬陵","441302009200","0752","516255","23.148744","114.518313"
"5","广东省","惠州市","惠城区","水口街道办事处","大和村民委员会","大和","广东;惠州;惠城;水口;大和","441302009202","0752","516055","23.163505","114.473774"
"5","广东省","惠州市","惠城区","水口街道办事处","澳背村民委员会","澳背","广东;惠州;惠城;水口;澳背","441302009203","0752","516255","23.148744","114.518313"
"5","广东省","惠州市","惠城区","水口街道办事处","水口村民委员会","水口","广东;惠州;惠城;水口;水口","441302009204","0752","516255","23.148749","114.518312"
"5","广东省","惠州市","惠城区","水口街道办事处","上村村民委员会","上村","广东;惠州;惠城;水口;上村","441302009205","0752","516255","23.132170","114.527911"
"5","广东省","惠州市","惠城区","水口街道办事处","姚村村民委员会","姚村","广东;惠州;惠城;水口;姚村","441302009206","0752","516255","23.109335","114.552588"
